学号,姓名,所属专业,联系电话,性别,出生日期
31070038,刘毅,2004 计算机-计算机科学与技术,13988888888,女,1998/3/8
31070039,黄威,2004 计算机-计算机科学与技术,13988888889,男,1998/8/1
31070040,叶军,2004 计算机-计算机科学与技术,13988888890,女,1998/3/8
31070041,曹炳祥,2004 计算机-计算机科学与技术,13988888891,女,1998/1/7
31070042,曹霖,2004 计算机-计算机科学与技术,13988888892,女,1998/12/15
31070043,陈晨,2004 计算机-计算机科学与技术,13988888893,女,1998/5/3
31070044,陈再,2004 计算机-计算机科学与技术,13988888888,女,1998/9/8
31070045,代斌,2004 计算机-计算机科学与技术,13988888889,女,1998/5/3
31070046,杜飞,2004 计算机-计算机科学与技术,13988888890,男,1998/9/8
31070047,高原,2004 计算机-计算机科学与技术,13988888891,男,1998/12/15
31070048,顾垠,2004 计算机-计算机科学与技术,13988888892,男,1998/3/8
31070049,郭奕春,2004 计算机-计算机科学与技术,13988888893,男,1998/5/3
31070050,黄亿华,2004 计算机-计算机科学与技术,13988888888,女,1998/3/10
31070051,蒋峰,2004 计算机-计算机科学与技术,13988888889,女,1998/8/26
31070052,蒋亦奇,2004 计算机-计算机科学与技术,13988888890,女,1998/3/10
31070053,李铭华,2004 计算机-计算机科学与技术,13988888891,男,1998/8/1
31070054,李姗姗,2004 计算机-计算机科学与技术,13988888892,男,1998/8/1
31070055,卢林,2004 计算机-计算机科学与技术,13988888893,女,1998/6/5
31070056,陆一,2004 计算机-计算机科学与技术,13988888888,男,1998/5/3
31070057,罗大风,2004 计算机-计算机科学与技术,13988888889,女,1998/5/3
31070058,钱俊进,2004 计算机-计算机科学与技术,13988888890,女,1998/12/15
31070059,秦晓东,2004 计算机-计算机科学与技术,13988888891,女,1998/6/5
31070060,任颖新,2004 计算机-计算机科学与技术,13988888892,男,1998/6/5
31070061,施凯,2004 计算机-计算机科学与技术,13988888893,女,1998/3/8
31070062,施文波,2004 计算机-计算机科学与技术,13988888888,女,1998/3/10
31070063,汪琤,2004 计算机-计算机科学与技术,13988888889,女,1998/12/15
31070064,王历,2004 计算机-计算机科学与技术,13988888890,男,1998/9/8
31070065,魏春,2004 计算机-计算机科学与技术,13988888891,男,1998/3/8
31070066,徐春平,2004 计算机-计算机科学与技术,13988888892,女,1998/6/5
31070067,许可,2004 计算机-计算机科学与技术,13988888893,男,1998/3/8
31070068,杨海滨,2004 计算机-计算机科学与技术,13988888888,女,1998/8/1
31070069,杨元祖,2004 计算机-计算机科学与技术,13988888889,男,1998/3/8
31070070,叶钢锋,2004 计算机-计算机科学与技术,13988888890,女,1998/8/26
31070071,张雷,2004 计算机-计算机科学与技术,13988888891,女,1998/1/7
31070072,张胜,2004 计算机-计算机科学与技术,13988888892,女,1998/8/26
31070073,张一珺,2004 计算机-计算机科学与技术,13988888893,女,1998/1/7
31070074,赵红玉,2004 计算机-计算机科学与技术,13988888888,女,1998/1/7
31070075,周波,2004 计算机-计算机科学与技术,13988888889,女,1998/5/3
31070076,朱彤,2004 计算机-计算机科学与技术,13988888890,男,1998/8/26
31070077,朱信杰,2004 计算机-计算机科学与技术,13988888891,男,1998/12/15
